category,ParentClass,count
Person,Thing,1
Architect,Person,2
Artist,Person,2
Athlete,Person,2
FictionalCharacter,Person,2
MilitaryPerson,Person,2
Model,Person,2
Philosopher,Person,2
Politician,Person,2
Presenter,Person,2
Royalty,Person,2
Scientist,Person,2
Writer,Person,2
Actor,Artist,3
Comedian,Artist,3
ComicsCreator,Artist,3
MusicalArtist,Artist,3
VoiceActor,Actor,4
AdultActor,Actor,4
BaseballPlayer,Athlete,3
BasketballPlayer,Athlete,3
SoccerPlayer,Athlete,3
WinterSportPlayer,Athlete,3
Wrestler,Athlete,3
FigureSkater,WinterSportPlayer,4
Organisation,Thing,1
Company,Organisation,2
EducationalInstitution,Organisation,2
PoliticalParty,Organisation,2
SportsTeam,Organisation,2
School,EducationalInstitution,3
Library,EducationalInstitution,3
University,EducationalInstitution,3
College,EducationalInstitution,3
SoccerClub,SportsTeam,3
Place,Thing,1
ArchitecturalStructure,Place,2
CelestialBody,Place,2
NaturalPlace,Place,2
Park,Place,2
PopulatedPlace,Place,2
WorldHeritageSite,Place,2
Building,ArchitecturalStructure,3
Infrastructure,ArchitecturalStructure,3
Hospital,Building,4
Library,Building,4
Museum,Building,4
ReligiousBuilding,Building,4
ShoppingMall,Building,4
Shrine,ReligiousBuilding,5
Temple,ReligiousBuilding,5
Airport,Infrastructure,4
RouteOfTransportation,Infrastructure,4
Station,Infrastructure,4
Road,RouteOfTransportation,5
BodyOfWater,NaturalPlace,3
HotSpring,NaturalPlace,3
Mountain,NaturalPlace,3
Stream,BodyOfWater,4
River,Stream,5
Country,PopulatedPlace,3
Island,PopulatedPlace,3
Region,PopulatedPlace,3
Settlement,PopulatedPlace,3
AdministrativeRegion,Region,4
City,Settlement,5
Disease,Thing,1
Work,Thing,1
Software,Work,2
Artwork,Work,2
Cartoon,Work,2
Film,Work,2
MusicalWork,Work,2
TelevisionShow,Work,2
Website,Work,2
WrittenWork,Work,2
VideoGame,Software,3
Anime,Cartoon,3
Album,MusicalWork,3
Single,MusicalWork,3
Book,WrittenWork,3
Comic,WrittenWork,3
PeriodicalLiterature,WrittenWork,3
Manga,Comic,4
AcademicJournal,PeriodicalLiterature,4
MeanOfTransportation,Thing,1
Aircraft,MeanOfTransportation,2
Automobile,MeanOfTransportation,2
Train,MeanOfTransportation,2
Language,Thing,1
ProgrammingLanguage,Language,2
Event,Thing,1
SocietalEvent,Event,2
MilitaryConflict,SocietalEvent,3
SportsEvent,SocietalEvent,3
GrandPrix,SportsEvent,4
Species,Thing,1
Archaea,Species,2
Bacteria,Species,2
Eukaryote,Species,2
Animal,Eukaryote,3
Fungus,Eukaryote,3
Plant,Eukaryote,3
Amphibian,Animal,4
Arachnid,Animal,4
Bird,Animal,4
Crustacean,Animal,4
Fish,Animal,4
Insect,Animal,4
Mammal,Animal,4
Mollusca,Animal,4
Reptile,Animal,4
Fern,Plant,4
FloweringPlant,Plant,4
GreenAlga,Plant,4
Moss,Plant,4
ChemicalSubstance,Thing,1
ChemicalCompound,ChemicalSubstance,2
TopicalConcept,Thing,1
Genre,TopicalConcept,2
MusicGenre,Genre,3
PersonFunction,Thing,1
Biomolecule,Thing,1
Enzyme,Biomolecule,2
